recipeID,name,category,directions,numberOfServings,author
116,Crepes - Owen Safe,Breakfast,Mix up the egg substitute (Ener-G Egg egg replacer).  Add everything into a blender and blend.  Cook thin crepes in a crepe pan or skillet over medium high heat.  You need higher heat with the Silk than you do with the milk version.,,Michelle Higgins
117,Scones - Owen Safe,Breakfast,"Preheat oven to 425 degrees

Whisk together flour, baking powder, salt and sugar in a large bowl (or 6 one second pulses in a food processor). 
Cut in the shortening and Smart Balance (or 12 one second pulses in a food processor).
Transfer to a large bowl, add Silk and stir about 30 seconds, then knead for about 10 seconds into a a sticky ball.
Press dough into a greased 8 inch round cake pan and then flip over onto parchment paper.  Cut the dough into 8 wedges (like a pizza).
Put wedges on parchment paper on a cookie sheet, and bake 12-15 minutes until tops are golden brown.

**Notes- OK, that's the official version of how to put them on the pan. Personally I find that with 1 cup of liquid the dough is way too wet to do this with.  I have added more flour or cut back on the liquid to make it possible to form them, but as it turns out the scones don't taste quite as good. So instead I just roll out the parchment paper and spoon six globs onto it.  I flatten out the globs with my fingers and sprinkle some sugar on top before baking.  My friend Val also uses an ice cream scoop to put out nice little blobs and that works well too.",,Michelle Higgins
118,Blueberry Coffee Cake,Breakfast,"Mix dry ingredients and set aside.  Beat shortening, sugar, egg, and vanilla.  Add milk and dry ingredients.  Fold in blueberries.  Spread in pan.  Blend topping ingredients and sprinkle evenly over top.  Bake at 375 deg for 30 min (for 9x9 pan) or ~40 min (for 8x8 pan).",,Michelle Higgins
119,Pizza Dough with Honey,Entree,"Pour water, honey, salt into food processor and mix for 15 seconds.  Add yeast and mix for 5 seconds.  Add 1 cup flour and mix for 10 seconds.  Add olive oil and mix until blended.  Add the rest of the flour and mix until dough forms a ball that rolls around the processor.  

Take dough out and knead for a minute or so.  Let raise in a warm, dry place for 30 minutes (or doubled in size).  Punch down and let rise again to about double it's original size again.  

Spread out on preheated pizza stone, cover with toppings, cook at 425 degrees.  

Makes enough for two large pizzas, plus a little one.  I haven't tried halving the recipe yet, but if you don't want a lot of pizza I would suggest doing so.",,Michelle Higgins
120,Pizza Sauce - Italian,Sauce,"Mix all ingredients in a sauce pan, cook on low for 2 or 3 hours.  Makes enough for 3 pizzas.",,Michelle Higgins
121,Mom's Chicken,Appetizer,"1.  Preheat oven to 350 degrees F

2.  In a medium bowl, combine the barbecue sauce, plum jam, and onion soup mix.  Place the chicken
    pieces in a 9 X 13 baking dish and pour mixture over chicken, coating thoroughly.

3.  Bake at 350 degrees for about 1 hour, or until chicken juices run clear.",,Michelle Higgins
122,Plum Jam  Chicken,Entree,"1.  Preheat oven to 350 degrees.

2.  In a medium  bowl, combine the barbecue sauce, plum jam and onion soup mix.  Place the chicken in a 9 X 13 baking dish and pour mixture over the chicken, coating thoroughly.

3.  Bake at 350 degrees for about 1 hour, or until chicken juices run clear.


",,Connie Quackenbush
123,Enchilada Sauce,Sauce,"In 2 quart saucepan, add chicken broth, chili powder, garlic powder, cumin, salt, cinnamon, and sugar.

Whisk often while heating to boil.  Reduce heat to low and simmer for 3 minutes.  Whisk often.

In small bowl, add 5 tbl water and whisk in 5 tbl flour 1 tbl at a time making sure to eliminate all lumps.

Turn heat up to high and slowly whisk is flour/water mixture.  Turn heat to medium and continue to whisk for 1 minute more.

Turn off heat... sauce is done.",,Michelle Higgins
124,Country Fried Hamburger Steaks with Gravy,Entree,"Beat together egg and milk in shallow bowl.  In separate dish mix flour with seasoned salt, pepper and garlic powder.  Flatten each burger to 1/4 in. thick... break into smaller pieces if necessary.

Heat oil until it's hot but not smoking.  Dip each piece of meat into egg mixture and dredge in flour to coat.  Fry in oil until both sides are golden brown.

Drain all but 3 tbl oil from pan and stir in flour left from dredging until a paste is formed.  Stir for 5 minutes over medium heat to eliminate raw flour taste.  Whisk in warm milk until gravy of desired thickness is formed.

Serve ""steaks"" over mashed potatoes with gravy over the top.  Yum.",,Michelle Higgins
125,Swiss Cheese & White Wine Sauce,Sauce,"Quickly brown the proscuitto in a little bit of butter.  Remove from pan.  Melt the butter over low heat. Slowly add the flour and cook to make a roux. Keeping the heat low, whisk in the warm milk.  Melt in the grated cheese.  Add the wine, proscuitto and a couple of dashes of nutmeg and pepper.  Let simmer for a few minutes to let the flavors combine, serve warm.",,Michelle Higgins
126,Tostada Beef,Entree,"This is a great way to get rid of a tough roast in a yummy way.  Cut roast into a few big chunks, remove any bones and big pieces of fat. Very lightly dredge the pieces in flour.  

Heat oil in a large dutch oven, then brown the roast.  Remove the roast from the pot and add the onions and cook them until they are translucent.  Add tomato sauce, garlic, bullion, cilantro, chili powder, oregano, cayenne pepper (optional) and water.  Mix together.  Replace the beef, cover and cook for at least 4 hours or until it falls apart.",,Michelle Higgins
127,Mexican Cheese Sauce,Sauce,"Melt butter in bowl, whisk in flour.  Whisk in milk and microwave until hot.  Add cheese and whisk in, microwave 30 seconds at a time until smooth and creamy.  Season with salt and pepper to taste... can add some chopped green chili or onions.

Good for chimichangas or just dipping chips.",,Michelle Higgins
128,Chimichangas,Entree,"Cook bacon in skillet, breaking up pieces.  When it's about done, add onion and saute.
Lower heat, add chilies, salt, oregano, chili powder and cilantro, simmer 2-3 minutes
Add meat and tomatoes, simmer 2-3 minutes
Place 1/2 cup meat filling in each tortilla, roll/fold like a burrito
Fry, seam side down in about 1/2 inch hot oil until mildly crispy and brown
Turn and brown on other side then drain for a moment on paper towels.
Place on plate and top with shredded cheese, sour cream and salsa.  Place some lettuce next to burrito.  Spoon some Mexican cheese sauce over the top if available.  

Yum.
",,Michelle Higgins
129,Rugalach Cookies,Dessert,"1st Day:  mix butter, cream cheese and salt until creamy.  Mix in flour.  Shape mixture into 14 balls.  Lightly cover and refrigerate overnight.

2nd Day:  Mix pecans, sugar and cinnamon in a small bowl to make filling.  On lightly floured board, roll each ball into a 6 inch circle.  Cut each into quarters.  Fill with filling mixture.  Fold over and pinch with fork to form a wedge.  Place on ungreased cookie sheet. Bake at 350 degrees for 12-14 minutes (not quite brown).",,Michelle Higgins
130,Soy-Marinated London Broil,Entree,"Mix soy sauce, brown sugar and garlic until sugar dissolves.  Dry meat with paper towles and marinade for 20-30 minutes.

Place meat in foil covered roasting pan and broil for 5 minutes on each side for medium rare.  While meat is broiling, saute onion over high heat until nicely brown then add remaining marindade and simmer for 5 minutes over low heat.

 Remove meat and cover tightly with foil for 5 minutes before slicing thinly.  Serve meat topped with a spoon of marinade/onion mixture sprinkled with a bit of seasame seeds.

Goes good with mashed potatoes or rice.",,Chris Higgins
131,One Bowl Chocolate Cake,Dessert,"1. Preheat oven to 350 degrees.  Grease and flour two nine inch round pans

2. In a large bowl, stir together the sugar, flour, cocoa, baking powder, baking soda and salt.  Add the eggs, milk, oil and vanilla, mix for 2 minutes on medium speed with a mixer.  Stir in the boiling water last.  Batter will be thin.  Pour evenly into the prepared pans. 

3. Bake 30 - 35 minutes in the preheated oven, until the cake tests done with a toothpick.  Cool in the pans for 10 minutes, then remove to a wire rack to cool complete before frosting.",,Michelle Higgins
132,Caramels,Dessert,"Grease a 4 x 4 pan or Tupperware container.

Melt butter in a heavy saucepan over medium heat.  Add brown sugar and salt, stir until combined.  Stir in corn syrup and mix thoroughly.  Gradually add the sweetened condensed milk, stirring constantly.  

Keep stirring until mixture reaches 245 degrees on a candy thermometer.  Turn off the heat.  Add the vanilla and mix it in.  Immediately pour it into the pan.  Wait for it to cool completely, then remove the remove the caramel from the pan in one piece.  Cut with kitchen scissors into small pieces and wrap them with wax paper. 
",,Michelle Higgins
133,Chicken with Apple Cider Dumplings,Entree,"Cut chicken into large pieces.  Start potatoes in microwave til mostly cooked, stirring every minute.  In a large, deep skillet brown chicken in olive oil and butter.  Remove chicken from pan.  Add in the onion, parsely, salt and pepper and cook until onions are tender.  Add in flour and mix well.  Add in broth and cider and return chicken to the skillet.  

In a separate bowl mix a normal batch of dumplings according to the directions on the Bisquick box.  Spoon the mix into the skillet and cook according to the directions on the box - 10 minutes uncovered and 10 minutes covered.  

You can also add carrots or other veg if you wish.",,Michelle Higgins
134,Eye Round Roast,Entree,"Salt the roast, wrap in saran wrap and refridgerate 18-24 hours

Preheat oven to 225 degrees

Pat dry the roast, rub with 2 tsp oil and some freshly cracked pepper.  Sear in hot skillet on all sides - about 3 minutes per side - til deeply brown.

Put on roasting rack in preheated oven.  Roast until thermometer reaches 
115 for med-rare
125 for medium

1-3/4 hrs to 2-1/4 depending on size (3.5 to 4.5 lbs)

Turn off oven.  Leave roast in oven and do not open door until roast measures 
130 for med-rare
140 for medium

which will be 30-50 minutes longer.  

Rest 15 minutes and slice thinly.",,Michelle Higgins
